chunk_size,chunk_overlap,faithfulness,answer_relevancy,context_precision,context_recall,overall_score
256,0,0.7650448361473804,0.9046243576922679,0.9041111110725099,0.9296666666666665,0.8758617428947061
256,128,0.7465378057833013,0.8861423443869506,0.8834999999610872,0.9263333333333332,0.8606283708661682
512,0,0.7359065223395279,0.8505873554511248,0.9053333332942358,0.9256666666666666,0.8543734694378888
512,128,0.798211179608743,0.8672919793836849,0.8916388888493431,0.9263333333333335,0.8708688452937761
512,256,0.7675767787539931,0.8421944045863303,0.9067499999586949,0.9356666666666666,0.8630469624914212
1024,0,0.7557162128022439,0.8825507447475681,0.8813333332941774,0.9286666666666666,0.862066739377664
1024,128,0.7660911457015576,0.8695038385470543,0.9067499999582477,0.9183333333333334,0.8651695793850482
1024,256,0.7499318054762911,0.8469745972009431,0.9028611110717604,0.9363333333333331,0.859025211770582
